sexo;idade;formacao;curso;anoFormacao;tempoProfissional;tempoFuncao;funcao;metodologia;existenciaProjeto;mesesNoProjeto;@12.Emrelaçãoassuascaracterísticasporfavorresponda;S1;S2;S3;C2;C3;C4;C1;EM4;EM1;EM3;EM2;T3;T1;T4;T2;I2;I1;I4;I3;Desvio
Masculino;35;Mestrado;Informática;2021;9;9;DBA;Híbrida;24;12; ;5;6;7;6;5;5;6;5;5;5;4;5;6;4;6;7;5;5;6;0,837707817
Masculino;26;Especialização;Ciência da computação;2018;4;4;Testador;Híbrida;120;25; ;6;7;5;5;6;5;7;5;5;5;5;5;6;5;6;7;4;5;6;0,841191024
Masculino;30;Superior completo;Sistemas de Informação;2012;4;11;DBA;Ágil;24;24; ;7;7;6;6;6;7;7;7;7;6;7;7;4;5;7;7;7;6;7;0,841191024
Masculino;27;Mestrado;Ciência da computação;2015;7;4;Desenvolvedor;Ágil;12;12; ;7;7;4;6;7;5;7;6;7;6;7;6;7;7;7;7;7;7;7;0,841191024
Feminino;24;Superior completo;Sistemas para Internet;2018;2;1;Desenvolvedor;Ágil;10;10; ;6;6;6;7;5;4;7;6;7;5;7;7;6;5;6;7;6;6;6;0,848114524
Masculino;29;Mestrado;Ciência da computação;2019;5;5;Desenvolvedor;Ágil;48;19; ;7;7;4;6;7;6;6;6;6;6;6;5;6;5;5;7;7;6;7;0,848114524
Masculino;34;Especialização;Sistemas de Informação;2012;10;5;Desenvolvedor;Híbrida;2;2; ;4;7;6;6;6;5;7;6;6;5;5;5;5;6;6;6;7;5;7;0,85498196
Masculino;22;Superior incompleto;Técnico em Programação;2014;4;4;Desenvolvedor;Híbrida;5;5; ;5;5;7;4;5;6;7;6;6;6;5;5;6;5;7;7;6;6;6;0,85498196
Masculino;32;Superior completo;Sistemas de Informação;2011;11;7;Desenvolvedor;Ágil;10;10; ;5;7;7;7;7;6;6;6;5;5;5;7;7;5;7;7;7;7;6;0,87191394
Masculino;25;Superior incompleto;Analise e Desenvolvimento de sistemas;2020;4;4;Desenvolvedor;Híbrida;120;24; ;6;6;7;7;7;5;6;5;7;5;5;5;6;6;6;6;5;5;4;0,87191394
Masculino;29;Mestrado;Engenharia da Computação;2016;3;2;Testador;Ágil;2;2; ;6;7;6;5;6;6;6;5;6;6;4;7;7;7;5;6;5;7;5;0,87526103
Feminino;31;Mestrado;Sistemas de Informação;2016;6;6;Testador;Híbrida;72;27; ;4;4;4;6;5;5;5;5;3;5;5;6;6;5;6;6;6;5;4;0,881917104
Masculino;32;Especialização;Engenharia da Computação;2013;12;2;Analista;Ágil;6;6; ;6;5;6;7;7;7;6;6;6;6;6;6;6;4;6;7;6;7;4;0,881917104
Feminino;29;Especialização;Ciência da computação;2011;7;5;Gerente;Ágil;20;20; ;7;7;5;6;5;5;7;7;7;7;7;6;5;7;5;7;7;6;7;0,885226373
